name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Luanda, Angola",2022-01-01,29,24,26.1,32.7,24,27.3,22.9,82.6,0.2,100,8.33,rain,0,0,,18.4,225.2,1009.7,51.6,9.6,263,22.6,9,,2022-01-01T05:51:52,2022-01-01T18:29:23,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-02,28.4,25,26.3,31.9,25,27.6,23,82.3,1.1,100,45.83,rain,0,0,,20.5,214.3,1009.1,76.3,9.6,153.6,13.4,5,,2022-01-02T05:52:24,2022-01-02T18:29:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-03,29,24,26.2,32,24,27.3,23.3,84.5,4.6,100,75,rain,0,0,,16.6,233.4,1008.9,74.8,9.9,202.4,17.5,7,,2022-01-03T05:52:56,2022-01-03T18:30:10,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-04,28,24,25.8,31.2,24,26.7,23,84.7,2.3,100,62.5,rain,0,0,,16.6,222.6,1010.5,85.8,9.9,124.1,10.8,4,,2022-01-04T05:53:28,2022-01-04T18:30:33,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-05,29,23,26,32,23,27.2,22,79.4,0,0,0,,0,0,,16.6,218.1,1010,57,9.3,307.9,26.5,10,,2022-01-05T05:54:00,2022-01-05T18:30:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-06,33,24,26.6,39.2,24,28.2,23.2,82.4,0,0,0,,0,0,,18,193.3,1009.1,68.4,9.1,248.4,21.4,8,,2022-01-06T05:54:31,2022-01-06T18:31:15,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-07,29.4,25,26.3,32.5,25,27.4,22.8,81.7,0.4,100,16.67,rain,0,0,,16.6,197.7,1009.5,66.5,9.7,225.8,19.6,8,,2022-01-07T05:55:03,2022-01-07T18:31:36,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-08,29,24,26,32.7,24,26.9,22.8,83.4,0,0,0,,0,0,,22.3,212.4,1009.3,56.8,9.9,200.7,17.2,8,,2022-01-08T05:55:34,2022-01-08T18:31:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-09,29.1,24,26.1,32,24,27.1,22.8,82.2,0,0,0,,0,0,,16.6,229.8,1009.1,82.5,9.9,227.6,19.6,8,,2022-01-09T05:56:06,2022-01-09T18:32:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-10,27.8,24,25.2,30.2,24,25.3,22.6,85.9,0.2,100,8.33,rain,0,0,26.6,24.1,211.7,1008.6,85.8,12.7,363.6,31.3,10,3,2022-01-10T05:56:37,2022-01-10T18:32:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-11,28,24,25.6,31.2,24,26.4,22.4,83,0.1,100,4.17,rain,0,0,25.2,22.7,213.9,1008.2,69.9,12.8,300,26.2,10,10,2022-01-11T05:57:07,2022-01-11T18:32:48,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-12,29,23,25.6,32,23,26.3,21.7,79.5,0.1,100,4.17,rain,0,0,19.1,17.3,232.4,1010.6,74.2,11.8,260.9,22.8,10,10,2022-01-12T05:57:38,2022-01-12T18:33:04,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-13,31,24,25.8,35.5,24,26.5,21.2,76,0.1,100,4.17,rain,0,0,16.9,13,264.4,1012,81.1,12.3,214.9,18.8,7,10,2022-01-13T05:58:08,2022-01-13T18:33:20,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-14,29,22,25.4,31.3,22,26,21.5,79.6,0,0,0,,0,0,21.2,16.2,240.6,1011.8,66.2,13.3,310.1,27.2,10,5,2022-01-14T05:58:38,2022-01-14T18:33:34,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-15,29,22,25.6,31.3,22,26.3,21.2,77.2,0,0,0,,0,0,20.5,13,243.3,1011.3,71.1,12.7,298.8,26.1,9,10,2022-01-15T05:59:07,2022-01-15T18:33:47,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-16,29,23,24.9,31.3,23,25,20.9,79,0.1,100,4.17,rain,0,0,23,21.2,232.2,1012.1,54,18,314.1,27.4,10,10,2022-01-16T05:59:36,2022-01-16T18:33:59,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-17,28,24,25.7,30.6,24,26.3,20.8,74.7,0,0,0,,0,0,21.2,19.4,229.5,1012.9,45.1,10.1,314.9,27.5,10,10,2022-01-17T06:00:05,2022-01-17T18:34:11,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-18,29,22,25.4,30.8,22,25.9,19.7,71.4,0.2,100,4.17,rain,0,0,26.3,23.4,210.7,1012.8,52.5,14.5,271.7,23.8,10,10,2022-01-18T06:00:33,2022-01-18T18:34:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-19,30,22,25.5,31.3,22,26.2,20.1,72.9,0,0,0,,0,0,22.3,21.2,214.2,1011.7,37.5,12.1,292.7,25.5,10,10,2022-01-19T06:01:01,2022-01-19T18:34:31,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-20,38,23,26,42.2,23,26.8,20.6,73.3,0.1,100,4.17,rain,0,0,31.7,25.6,193.6,1011.6,51.3,12,307.6,26.9,10,10,2022-01-20T06:01:28,2022-01-20T18:34:39,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-21,30,22,25.4,32.5,22,26,20.8,76.3,0,0,0,,0,0,32,29.9,196.7,1011.3,53.1,12.1,327.2,28.6,10,10,2022-01-21T06:01:55,2022-01-21T18:34:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-22,31,23,25.9,32.5,23,26.7,21,75.1,0,0,0,,0,0,33.1,25.6,208.5,1010.9,60.9,14.1,323,28.4,10,10,2022-01-22T06:02:21,2022-01-22T18:34:53,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-23,28,23,25.5,30.1,23,26,20.8,75.5,0,0,0,,0,0,28.8,23.8,212.3,1010,60.1,15.8,328.2,28.6,10,10,2022-01-23T06:02:47,2022-01-23T18:34:59,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-24,28,22,25.3,30.6,22,26,21.7,80.5,0,0,0,,0,0,28.1,22.3,221.5,1008.8,39.8,11.6,330.6,28.8,10,10,2022-01-24T06:03:12,2022-01-24T18:35:03,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-25,27,23,25.3,29.6,23,25.6,22.6,85.5,0.2,100,8.33,rain,0,0,25.2,18.4,251,1008.6,70,11.4,283.3,24.8,10,10,2022-01-25T06:03:37,2022-01-25T18:35:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-26,29,23.2,25.6,32,23.2,25.9,21.8,79.9,1.2,100,29.17,rain,0,0,20.9,20.5,111.4,1009.2,79.7,14.6,98.2,8.7,6,10,2022-01-26T06:04:01,2022-01-26T18:35:09,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-27,29,24.9,26.3,32.7,24.9,27.3,22.8,81.3,0,0,0,,0,0,21.6,18.4,230.6,1008.8,75.6,13.9,281.7,24.6,9,30,2022-01-27T06:04:24,2022-01-27T18:35:11,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-28,29,25.3,26.4,32.7,25.3,27.3,23.2,82.6,0,0,0,,0,0,22,18.4,232.4,1009.2,72.8,18.2,258.1,22.7,9,30,2022-01-28T06:04:47,2022-01-28T18:35:11,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-29,29,25,27.1,33.6,25,29.3,23.4,80.6,0,0,0,rain,0,0,27.4,24.1,212.9,1008.9,73,11.6,283.4,24.5,9,60,2022-01-29T06:05:09,2022-01-29T18:35:11,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-30,30.1,25,27.1,35.1,25,28.8,23.2,79.6,0.5,100,20.83,rain,0,0,27.7,25.9,197.4,1009.4,74.6,13.1,232.2,20.3,7,30,2022-01-30T06:05:31,2022-01-30T18:35:09,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-01-31,30,25,26.8,33.3,25,27.9,22.6,78.3,0.2,100,8.33,rain,0,0,23,23,202.3,1009.1,62.8,14.6,309.7,27,10,10,2022-01-31T06:05:52,2022-01-31T18:35:06,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-01,30,24,26.8,33.3,24,27.8,21.6,74,0,0,0,,0,0,32,28.8,210.8,1009,55.5,12.2,322.9,28.1,10,10,2022-02-01T06:06:12,2022-02-01T18:35:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-02,29,24,25.8,31.3,24,26.5,21,75.4,0,0,0,,0,0,26.6,24.1,217.1,1009.4,45,12.3,325.5,28.5,10,10,2022-02-02T06:06:31,2022-02-02T18:34:58,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-03,28,24,25.3,30.6,24,25.8,21.4,79.1,0.2,100,8.33,rain,0,0,22,22.3,237,1011.1,57.6,12.9,269.4,23.6,10,10,2022-02-03T06:06:50,2022-02-03T18:34:53,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-04,28,24,25.8,30.6,24,26.4,21.5,77.8,0,0,0,rain,0,0,22,20.9,214,1011,67.6,14.5,255.7,22.3,9,10,2022-02-04T06:07:09,2022-02-04T18:34:46,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-05,29,23,26.3,32.7,23,27.4,21.6,75.9,0.2,100,8.33,rain,0,0,26.3,23,201.2,1010.6,53.4,12.8,306.4,26.7,9,10,2022-02-05T06:07:26,2022-02-05T18:34:39,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-06,30,23,26.1,33.3,23,26.9,21.4,75.7,0,0,0,,0,0,30.6,26.3,201,1010.3,45.9,12.9,325.9,28.5,10,10,2022-02-06T06:07:43,2022-02-06T18:34:31,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-07,29,23,25.5,32,23,26.2,20.8,76,0,0,0,,0,0,30.2,22.3,207.9,1009.6,55.7,11.5,313.1,27.3,10,10,2022-02-07T06:07:59,2022-02-07T18:34:21,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-08,28,23.9,25.5,30.6,23.9,26.1,21.4,78.4,0.3,100,8.33,rain,0,0,27.7,25.9,201.6,1009.8,57.9,12.4,298.9,26.1,9,10,2022-02-08T06:08:15,2022-02-08T18:34:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-09,29,23,25.3,32,23,25.7,21.7,80.8,0.3,100,12.5,rain,0,0,25.6,21.2,225.8,1009.5,60.1,12.1,260.9,22.5,10,10,2022-02-09T06:08:30,2022-02-09T18:34:00,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-10,32,24.2,27,34.1,24.2,27.7,20.3,68,0,0,0,,0,0,36.4,32,196.9,1009.2,82.8,12.8,298.2,25.7,9,10,2022-02-10T06:08:44,2022-02-10T18:33:48,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-11,30,23,26.3,32.5,23,27.1,20.6,71.5,0,0,0,,0,0,29.9,24.1,217.1,1008.4,63.8,13.2,318.2,27.8,10,10,2022-02-11T06:08:58,2022-02-11T18:33:35,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-12,29,23,26.3,32,23,27.3,22.2,78.9,0,0,0,,0,0,27.7,20.2,215.1,1008.7,43,13.9,312,27.2,10,10,2022-02-12T06:09:11,2022-02-12T18:33:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-13,29,24,26.4,31.3,24,27.2,21.7,76.3,0.3,100,12.5,rain,0,0,26.6,18.4,246.7,1008.8,56.5,10.8,267.3,23.3,10,30,2022-02-13T06:09:23,2022-02-13T18:33:06,0.39,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-14,31,22,26.4,33,22,26.9,21,73,0.4,100,16.67,rain,0,0,31,26.3,324,1009.9,63.8,12.6,218.6,19,10,30,2022-02-14T06:09:35,2022-02-14T18:32:50,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-15,30.8,25,27.5,36.1,25,29.3,21.8,71.2,0,0,0,,0,0,30.6,24.5,217.2,1009.5,61.7,12.4,288.7,25.1,9,30,2022-02-15T06:09:46,2022-02-15T18:32:34,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-16,30,25.6,27.1,34.1,25.6,28.9,23.1,79.1,0.4,100,12.5,rain,0,0,22.7,20.5,219.3,1009.2,55.4,13.5,290.3,25.4,9,30,2022-02-16T06:09:56,2022-02-16T18:32:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-17,30,26,27.1,34.1,26,28.6,22.8,77.5,0.3,100,8.33,rain,0,0,22,17.3,246.4,1008,77.2,13.7,256.3,22.3,9,30,2022-02-17T06:10:06,2022-02-17T18:31:59,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-18,31,25,27.3,35.5,25,29,22.2,74.2,0.8,100,16.67,rain,0,0,36.4,20.5,203.5,1007.8,61.3,11.3,305.6,26.6,10,30,2022-02-18T06:10:15,2022-02-18T18:31:40,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-19,29,25.9,26.6,35.6,25.9,28,23.4,82.7,2.5,100,33.33,rain,0,0,20.9,18,236.6,1009.5,76.1,15.8,206.4,18,8,30,2022-02-19T06:10:23,2022-02-19T18:31:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-20,31,26,27.6,35.5,26,29.6,23.3,78.1,1.6,100,25,rain,0,0,26.6,20.2,225.9,1009.4,64.9,13.5,250,21.8,8,60,2022-02-20T06:10:31,2022-02-20T18:31:00,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-21,30,26,27.8,34.1,26,29.9,23.1,76.1,2,100,33.33,rain,0,0,30.6,23.4,247.9,1009.7,67.7,13.5,268.9,23.3,10,60,2022-02-21T06:10:38,2022-02-21T18:30:39,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-22,31,25.7,27.1,33,25.7,28.5,22.5,76.6,2.7,100,33.33,rain,0,0,25.2,20.2,198.9,1010.2,81.4,14.2,290,25.3,10,60,2022-02-22T06:10:45,2022-02-22T18:30:17,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-23,30,25,27.6,34.1,25,29.9,22.9,76,2.9,100,37.5,rain,0,0,24.1,16.6,215.7,1010.2,67,10.3,167.5,14.6,9,30,2022-02-23T06:10:51,2022-02-23T18:29:55,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-24,32,26,27.7,37.9,26,30.3,23.5,78,1,100,25,rain,0,0,23.8,18.4,230.5,1009.8,62.6,14.1,287,25.1,9,60,2022-02-24T06:10:57,2022-02-24T18:29:31,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-25,33,25.9,28.5,38.1,25.9,31.5,23.4,74.7,1.7,100,16.67,rain,0,0,26.6,21.2,191.2,1008.7,67.3,12.3,222.9,19.4,9,30,2022-02-25T06:11:02,2022-02-25T18:29:08,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-26,32,25.8,28,37.9,25.8,31,23.9,79.1,0.2,100,4.17,rain,0,0,29.2,25.9,230.3,1009.3,34.3,15.3,289.8,25.2,10,60,2022-02-26T06:11:06,2022-02-26T18:28:43,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-27,33,26.6,28.6,38.1,26.6,32.1,23.8,76.1,0.3,100,12.5,rain,0,0,34.9,29.9,190.5,1008.8,69,15.8,260.8,22.7,10,60,2022-02-27T06:11:10,2022-02-27T18:28:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-02-28,32,27,29,39.2,30.1,33.4,24,75.1,0.1,100,4.17,rain,0,0,28.8,20.5,202.8,1008.4,47,10.5,275,23.8,9,60,2022-02-28T06:11:14,2022-02-28T18:27:53,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-01,32,25,27.3,37.7,25,29.7,23.6,80.4,0.5,100,12.5,rain,0,0,30.6,29.5,97.4,1009.2,80,13.5,124.6,8.8,4,60,2022-03-01T06:11:17,2022-03-01T18:27:27,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-02,31,24,27.4,36.5,24,30,23.2,79,0,0,0,,0,0,24.1,20.5,213.4,1008.8,54.2,11.4,297.4,21.4,9,60,2022-03-02T06:11:19,2022-03-02T18:27:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-03,32,26,28.1,39.2,26,31.7,24.2,79.8,0,0,0,,0,0,33.8,27.4,220.4,1008.6,56.4,14.7,310.9,22.3,10,60,2022-03-03T06:11:21,2022-03-03T18:26:33,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-04,31,25.4,28.3,36.5,25.4,32.1,24.1,78.6,0.9,100,20.83,rain,0,0,26.6,23.8,215.8,1008.2,60.8,11.4,309.1,22.2,9,60,2022-03-04T06:11:23,2022-03-04T18:26:05,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-05,30,25,27.8,36.2,25,31.6,24.8,84.1,5.3,100,41.67,rain,0,0,23,20.9,211.5,1007.7,73.9,10.9,160.6,11.7,4,60,2022-03-05T06:11:24,2022-03-05T18:25:37,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-06,30,22,27.5,36.2,22,31,24.2,82.4,0.1,100,4.17,rain,0,0,27,18.4,196.9,1007.7,89.7,10.8,284.5,20.4,9,30,2022-03-06T06:11:25,2022-03-06T18:25:08,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-07,32,25,27.5,39.2,25,30.2,23.7,79.9,0,0,0,,0,0,23,25.2,206.1,1007.2,68.7,17,293.9,23.4,9,30,2022-03-07T06:11:26,2022-03-07T18:24:39,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-08,31,25.8,27.7,36.5,25.8,30,23.2,77.1,0.1,100,4.17,rain,0,0,22.3,24.1,221.6,1007.3,70.5,16.5,260.8,22.4,9,10,2022-03-08T06:11:26,2022-03-08T18:24:10,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-09,31,25,27.9,36.5,25,30.9,23.4,76.5,0.2,100,8.33,rain,0,0,27.7,26.3,221.4,1006.8,73.8,15.9,255.5,22.1,10,10,2022-03-09T06:11:25,2022-03-09T18:23:40,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-10,32,27,28.6,37.9,29.5,33,24.1,76.8,0.4,100,16.67,rain,0,0,23.8,24.1,208.2,1006.9,80.5,11.1,243.6,21,9,30,2022-03-10T06:11:25,2022-03-10T18:23:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-11,30,26,27.8,35.1,26,30.9,23.8,79,0,0,0,,0,0,23.8,24.8,193.2,1007.8,90.1,15.8,222.8,19.2,9,30,2022-03-11T06:11:24,2022-03-11T18:22:40,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-12,31,26,27.6,36.5,26,30.4,23.3,77.7,0.5,100,20.83,rain,0,0,18.7,20.5,232.2,1007.6,71.8,14.1,236.3,20.5,9,10,2022-03-12T06:11:23,2022-03-12T18:22:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-13,30,26,27.7,35.1,26,30.5,23,75.8,0.3,100,12.5,rain,0,0,21.6,21.2,255.2,1008.2,74.7,14.7,160.7,13.8,5,10,2022-03-13T06:11:21,2022-03-13T18:21:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-14,32.1,25.7,28.3,36.9,25.7,31.1,23.1,74,0.1,100,4.17,rain,0,0,30.2,31.3,202.3,1008.5,68.3,17.1,276,24.1,10,30,2022-03-14T06:11:19,2022-03-14T18:21:06,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-15,31,26,27.9,35.5,26,30.8,23,75.1,0.4,100,16.67,rain,0,0,36.4,37.4,194.6,1009.8,65.3,10.3,248.6,21.5,9,30,2022-03-15T06:11:17,2022-03-15T18:20:35,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-16,31,24.7,27.5,36.5,24.7,29.6,22.6,74.7,0.1,100,4.17,rain,0,0,31.7,31,198.5,1009.5,54.8,11.2,291.3,25.3,10,10,2022-03-16T06:11:15,2022-03-16T18:20:03,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-17,30,25,27.2,34.1,25,28.8,22.2,74.4,0,0,0,,0,0,24.8,18.4,189.1,1008.9,58.6,10.4,270.1,23.4,8,5,2022-03-17T06:11:13,2022-03-17T18:19:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-18,31,24,27.1,35.5,24,28.8,22.4,75.9,0,0,0,,0,0,35.3,33.5,195.2,1008.8,50.5,14.1,314,27.2,10,5,2022-03-18T06:11:10,2022-03-18T18:18:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-19,30,24.5,26.9,33.6,24.5,28.7,22.5,77.4,0,0,0,,0,0,31,27.7,216.4,1009.5,64.5,14.7,277.6,23.9,9,5,2022-03-19T06:11:07,2022-03-19T18:18:27,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-20,30,24.8,27.3,34.1,24.8,29.4,23.2,78.7,1.6,100,37.5,rain,0,0,27.7,23.8,210.3,1008.6,70.4,12.1,198,17.2,9,30,2022-03-20T06:11:04,2022-03-20T18:17:54,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
"Luanda, Angola",2022-03-21,31,26,27.9,36.5,26,30.6,23.5,77.8,1.5,100,33.33,rain,0,0,20.9,18.4,241.6,1008.4,75.2,12.4,126.9,10.9,7,60,2022-03-21T06:11:01,2022-03-21T18:17:22,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FNLU,66160099999,remote"
